,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,8.704174,256387,1.0,10.0,523,550.0,2.7210884353741498e-05,15.009189339742974,0.008694906621138662,0.7540898219934025,0,0,0,0.0,9,3900,20.0,False,87,897,897
1,8.700144,256388,12.0,3.0,142,150.0,2.7210884353741498e-05,15.073226580086816,0.152435414343242,7.982156353931358,0,7,2,1.0,3,3900,2.0,False,88,909,909
2,11.509507,256389,3.0,12.0,287,300.0,2.7210884353741498e-05,15.073226580086816,0.008084014190320104,2.2411788660651726,0,0,0,0.0,6,3900,8.0,False,89,933,933
3,9.425584,256390,12.0,3.0,498,500.0,2.7210884353741498e-05,15.054033214922603,0.05289092314960686,1.661506637434736,0,0,0,0.0,9,3900,19.0,False,90,960,960
4,8.454727,256391,12.0,3.0,439,450.0,2.7210884353741498e-05,15.056167835190472,0.02319946376360872,13.793131799449469,0,3,1,0.0,6,3900,11.0,False,91,984,984
5,9.61786,256392,1.0,10.0,690,700.0,2.7210884353741498e-05,15.009189339742974,0.0002409743614632849,0.7008739070386387,0,0,0,0.0,12,3900,34.0,False,92,1020,1020
6,4.7439914,256393,12.0,3.0,1050,800.0,2.7210884353741498e-05,15.054033214922603,0.061031972622270794,1.1965327012185458,1,0,0,0.0,12,3900,36.0,True,92,1020,1020
7,8.586408,256393,12.0,3.0,250.0,250.0,2.7210884353741498e-05,15.054033214922603,0.061031972622270794,1.1965327012185458,0,0,0,0.0,6,3900,7.0,False,93,1038,1038
8,12.511083,256394,3.0,12.0,999,800.0,2.7210884353741498e-05,15.073226580086816,0.027622719144519504,13.807421748148931,0,0,0,0.0,12,3900,36.0,True,94,1086,1086
9,9.206776,256394,3.0,12.0,199.0,200.0,2.7210884353741498e-05,15.073226580086816,0.027622719144519504,13.807421748148931,0,0,0,0.0,3,3900,3.0,False,95,1098,1098
10,10.673116,256395,1.0,10.0,944,800.0,2.7210884353741498e-05,15.009189339742974,0.04782286261635628,6.6958991221724125,0,0,0,0.0,12,3900,36.0,True,96,1134,1134
11,7.5388293,256395,1.0,10.0,144.0,150.0,2.7210884353741498e-05,15.009189339742974,0.04782286261635628,6.6958991221724125,0,0,0,0.0,3,3900,2.0,False,97,1143,1143
12,8.332712,256396,11.0,1.0,90,100.0,2.7210884353741498e-05,15.190080317635584,0.12565230026588148,0.7650890776211924,0,0,0,0.0,3,3750,1.0,False,98,1152,1152
13,8.115814,256397,11.0,1.0,211,250.0,2.7210884353741498e-05,15.190080317635584,0.08958005402561475,3.0476745622941253,0,0,0,0.0,6,3750,7.0,False,98,1164,1164
14,10.170933,256398,1.0,11.0,664,700.0,2.7210884353741498e-05,15.190080317635584,0.06593502747528468,2.0425199688958084,0,0,0,0.0,12,3750,34.0,False,99,1200,1200
15,9.7957325,256399,11.0,1.0,697,700.0,2.7210884353741498e-05,15.190080317635584,0.14714533004730326,7.562934770646396,0,0,0,0.0,12,3750,34.0,False,100,1236,1236
16,11.869942,256400,3.0,13.0,321,350.0,2.7210884353741498e-05,15.21772801100404,0.09647347489061517,17.319828872125473,0,0,0,0.0,6,3750,9.0,False,100,1227,1227
17,9.247004,256401,1.0,11.0,52,100.0,2.7210884353741498e-05,15.190080317635584,0.08240780397733984,24.92758400280278,0,0,0,0.0,3,3750,1.0,False,99,1218,1218
18,9.109743,256402,11.0,1.0,473,500.0,2.7210884353741498e-05,15.190080317635584,0.03466754340742276,11.03914133678327,0,0,0,0.0,9,3750,19.0,False,97,1167,1167
19,12.015472,256403,3.0,13.0,1091,800.0,2.7210884353741498e-05,15.21772801100404,0.025176029236998285,1.2650585526496416,0,0,0,0.0,12,3750,36.0,True,98,1203,1203
20,11.891861,256403,3.0,13.0,291.0,300.0,2.7210884353741498e-05,15.21772801100404,0.025176029236998285,1.2650585526496416,0,0,0,0.0,6,3750,8.0,False,99,1221,1221
21,7.756265,256404,11.0,1.0,103,150.0,2.7210884353741498e-05,14.880659941921914,0.1848416435880797,23.3786191138258,0,3,1,0.0,3,4050,2.0,False,99,1221,1221
22,10.775534,256405,1.0,11.0,560,600.0,2.7210884353741498e-05,15.190080317635584,0.07151455702375005,12.834951467850566,0,0,0,0.0,9,3750,21.0,False,99,1239,1239
23,8.674748,256406,13.0,3.0,673,700.0,2.7210884353741498e-05,14.89910059043676,0.03109180174879187,4.2876299776830855,0,7,2,1.0,12,4050,34.0,False,99,1269,1269
24,8.28893,256407,11.0,1.0,475,500.0,2.7210884353741498e-05,15.190080317635584,0.14136473674168695,15.000215982997693,0,0,0,0.0,9,3750,19.0,False,100,1296,1296
25,10.137992,256408,1.0,11.0,1038,800.0,2.7210884353741498e-05,15.190080317635584,0.005994959356796581,14.241084232599448,0,0,0,0.0,12,3750,36.0,True,99,1296,1296
26,8.655897,256408,1.0,11.0,238.0,250.0,2.7210884353741498e-05,15.190080317635584,0.005994959356796581,14.241084232599448,0,0,0,0.0,6,3750,7.0,False,100,1314,1314
27,7.780244,256409,14.0,2.0,997,850.0,2.7210884353741498e-05,15.413727722231057,0.10390075190921318,6.1278221654162,1,0,0,0.0,12,3600,37.0,True,100,1314,1314
28,9.894814,256409,14.0,2.0,147.0,150.0,2.7210884353741498e-05,15.413727722231057,0.10390075190921318,6.1278221654162,0,0,0,0.0,3,3600,2.0,False,101,1326,1326
29,6.500661,256410,14.0,1.0,493,500.0,2.7210884353741498e-05,15.392972705021098,0.0523044041991958,14.379990344258815,1,1,0,1.0,9,3600,19.0,False,99,1317,1317
30,11.20631,256411,9.0,3.0,965,850.0,2.7210884353741498e-05,15.376535195689891,0.05226581766758495,15.649763095221285,0,0,0,0.0,12,3600,37.0,True,100,1353,1353
31,10.453257,256411,9.0,3.0,115.0,150.0,2.7210884353741498e-05,15.376535195689891,0.05226581766758495,15.649763095221285,0,0,0,0.0,3,3600,2.0,False,101,1362,1362
32,11.451398,256412,3.0,9.0,961,850.0,2.7210884353741498e-05,15.376535195689891,0.06523965866911219,8.984213619243155,0,0,0,0.0,12,3600,37.0,True,102,1398,1398
33,10.528275,256412,3.0,9.0,111.0,150.0,2.7210884353741498e-05,15.376535195689891,0.06523965866911219,8.984213619243155,0,0,0,0.0,3,3600,2.0,False,103,1407,1407
34,9.767486,256413,14.0,3.0,141,150.0,2.7210884353741498e-05,15.374237200076939,0.11827869923303988,6.3859303780356695,0,0,0,0.0,3,3600,2.0,False,103,1407,1407
35,7.9756007,256414,14.0,2.0,384,400.0,2.7210884353741498e-05,15.431397438084263,0.13252437738940717,4.643023898189528,0,3,1,0.0,6,3600,10.0,False,103,1404,1404
36,10.504105,256415,3.0,9.0,191,200.0,2.7210884353741498e-05,15.376535195689891,0.00019162990502107817,2.6863193139997215,0,0,0,0.0,3,3600,3.0,False,104,1413,1413
37,7.8371253,256416,14.0,2.0,983,850.0,2.7210884353741498e-05,15.413727722231057,0.056405774159754264,16.109275477341708,1,0,0,0.0,12,3600,37.0,True,104,1413,1413
38,7.2011957,256416,14.0,2.0,133.0,150.0,2.7210884353741498e-05,15.413727722231057,0.056405774159754264,16.109275477341708,1,0,0,0.0,3,3600,2.0,False,104,1413,1413
39,5.4232583,256417,1.0,14.0,1122,850.0,2.7210884353741498e-05,15.392972705021098,0.16134969168440777,1.2928361487946691,1,0,0,0.0,12,3600,37.0,True,103,1401,1401
40,9.510996,256417,1.0,14.0,272.0,300.0,2.7210884353741498e-05,15.392972705021098,0.16134969168440777,1.2928361487946691,0,0,0,0.0,6,3600,8.0,False,104,1425,1425
41,5.3907895,256418,14.0,1.0,820,850.0,2.7210884353741498e-05,15.392972705021098,0.003947773447142101,21.304244550365727,1,0,0,0.0,12,3600,37.0,False,104,1425,1425
42,11.270177,256419,9.0,3.0,1073,850.0,2.7210884353741498e-05,15.376535195689891,0.05986046484963276,26.910960832137786,0,0,0,0.0,12,3600,37.0,True,105,1461,1461
43,12.078523,256419,9.0,3.0,223.0,250.0,2.7210884353741498e-05,15.376535195689891,0.05986046484963276,26.910960832137786,0,0,0,0.0,6,3600,7.0,False,106,1479,1479
44,10.340074,256420,3.0,14.0,1082,850.0,2.7210884353741498e-05,15.374237200076939,0.027454560993611897,2.175374317393216,0,0,0,0.0,12,3600,37.0,True,105,1449,1449
45,9.752498,256420,3.0,14.0,232.0,250.0,2.7210884353741498e-05,15.374237200076939,0.027454560993611897,2.175374317393216,0,0,0,0.0,6,3600,7.0,False,106,1461,1461
46,10.210808,256421,3.0,14.0,906,850.0,2.7210884353741498e-05,15.374237200076939,0.18165235969764784,13.0199686653571,0,0,0,0.0,12,3600,37.0,True,107,1485,1485
47,10.139234,256421,3.0,14.0,56.0,100.0,2.7210884353741498e-05,15.374237200076939,0.18165235969764784,13.0199686653571,0,0,0,0.0,3,3600,1.0,False,108,1491,1491
48,8.9876795,256422,14.0,1.0,1189,850.0,2.7210884353741498e-05,15.392972705021098,0.07431093159428362,9.547118992736022,0,0,0,0.0,12,3600,37.0,True,107,1509,1509
49,10.607278,256422,14.0,1.0,339.0,350.0,2.7210884353741498e-05,15.392972705021098,0.07431093159428362,9.547118992736022,0,0,0,0.0,6,3600,9.0,False,108,1533,1533
