,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,,,1,3.0,12.0,741,750.0,2.7210884353741498e-05,15.054033214922603,0.12959159325703679,6.0139779242638225,1,8,2,2.0,12,3900,35.0,False,0,0,0
1,,,2,3.0,12.0,384,400.0,2.7210884353741498e-05,15.073226580086816,0.21932866957727604,17.316524946627222,1,2,0,2.0,6,3900,10.0,False,0,0,0
2,,,3,12.0,3.0,407,450.0,2.7210884353741498e-05,15.056167835190472,0.06763598352372636,24.26268083319051,1,4,1,1.0,6,3900,11.0,False,0,0,0
3,,,4,10.0,1.0,1158,800.0,2.7210884353741498e-05,15.009189339742974,0.00073000249595756,2.765314664734684,1,2,0,2.0,12,3900,36.0,True,0,0,0
4,,,4,10.0,1.0,358.0,400.0,2.7210884353741498e-05,14.548456703409624,0.00073000249595756,2.765314664734684,1,4,1,1.0,6,4350,10.0,False,0,0,0
5,,,5,12.0,3.0,886,800.0,2.7210884353741498e-05,15.056167835190472,0.002882260719202781,17.290701025933803,1,4,1,1.0,12,3900,36.0,True,0,0,0
6,,,5,12.0,3.0,86.0,100.0,2.7210884353741498e-05,15.054033214922603,0.002882260719202781,17.290701025933803,0,0,0,0.0,3,3900,1.0,False,1,9,9
7,,,6,10.0,1.0,451,500.0,2.7210884353741498e-05,14.548456703409624,0.06303187666162105,3.7619773260141653,1,4,1,1.0,9,4350,19.0,False,1,9,9
8,,,7,3.0,12.0,1075,800.0,2.7210884353741498e-05,15.056167835190472,0.22977097788746853,0.4067855873026649,1,4,1,1.0,12,3900,36.0,True,1,9,9
9,,,7,3.0,12.0,275.0,300.0,2.7210884353741498e-05,15.056167835190472,0.22977097788746853,0.4067855873026649,1,4,1,1.0,6,3900,8.0,False,1,9,9
10,,,8,1.0,10.0,501,550.0,2.7210884353741498e-05,15.009189339742974,0.07321130166907389,8.423568635738299,1,2,0,2.0,9,3900,20.0,False,1,9,9
11,,,9,12.0,3.0,537,550.0,2.7210884353741498e-05,15.073226580086816,0.034071999555202105,19.86991626230969,0,6,2,0.0,9,3900,20.0,False,2,45,45
12,,,10,10.0,1.0,186,200.0,2.7210884353741498e-05,14.591388933414063,0.15544878571894102,5.376983924845,1,8,2,2.0,3,4350,3.0,False,2,45,45
13,,,11,3.0,12.0,1159,800.0,2.7210884353741498e-05,15.056167835190472,0.025489909369878244,6.686055075443841,1,4,1,1.0,12,3900,36.0,True,2,45,45
14,,,11,3.0,12.0,359.0,400.0,2.7210884353741498e-05,15.056167835190472,0.025489909369878244,6.686055075443841,1,4,1,1.0,6,3900,10.0,False,2,45,45
15,,,12,12.0,3.0,1113,800.0,2.7210884353741498e-05,15.056167835190472,0.04241288587008741,15.133150001136201,1,4,1,1.0,12,3900,36.0,True,2,45,45
16,,,12,12.0,3.0,313.0,350.0,2.7210884353741498e-05,15.054033214922603,0.04241288587008741,15.133150001136201,1,2,0,2.0,6,3900,9.0,False,2,45,45
17,,,13,1.0,10.0,1176,800.0,2.7210884353741498e-05,14.591388933414063,0.020360256810311943,6.9687254350355285,1,4,1,1.0,12,4350,36.0,True,2,45,45
18,,,13,1.0,10.0,376.0,400.0,2.7210884353741498e-05,14.548456703409624,0.020360256810311943,6.9687254350355285,1,7,2,1.0,6,4350,10.0,False,2,45,45
19,,,14,10.0,1.0,59,100.0,2.7210884353741498e-05,14.548456703409624,0.1770810506632322,10.052611653903233,1,4,1,1.0,3,4350,1.0,False,2,45,45
20,,,15,3.0,12.0,758,800.0,2.7210884353741498e-05,15.056167835190472,0.03929482550729438,13.65280329692622,1,4,1,1.0,12,3900,36.0,False,2,45,45
21,,,16,10.0,1.0,1023,800.0,2.7210884353741498e-05,15.009189339742974,0.003914458051188518,4.985235062429175,1,1,0,1.0,12,3900,36.0,True,2,45,45
22,,,16,10.0,1.0,223.0,250.0,2.7210884353741498e-05,14.548456703409624,0.003914458051188518,4.985235062429175,1,4,1,1.0,6,4350,7.0,False,2,45,45
23,,,17,10.0,1.0,500,500.0,2.7210884353741498e-05,14.548456703409624,0.016336011022845064,9.81782868579545,1,4,1,1.0,9,4350,19.0,False,2,45,45
24,,,18,11.0,1.0,688,700.0,2.7210884353741498e-05,14.880659941921914,0.12120567475572125,2.159541035632725,1,4,1,1.0,12,4050,34.0,False,2,45,45
25,,,19,1.0,11.0,71,100.0,2.7210884353741498e-05,15.190080317635584,0.03533117914953124,21.93694755415693,1,2,0,2.0,3,3750,1.0,False,2,45,45
26,,,20,13.0,3.0,549,550.0,2.7210884353741498e-05,14.89910059043676,0.1513675129262737,3.940326134471497,1,7,2,1.0,9,4050,20.0,False,2,45,45
27,,,21,1.0,11.0,1150,800.0,2.7210884353741498e-05,14.713942972268722,0.07412731091524385,8.749599559828342,0,6,2,0.0,12,4200,36.0,True,3,93,93
28,,,21,1.0,11.0,350.0,350.0,2.7210884353741498e-05,15.190080317635584,0.07412731091524385,8.749599559828342,1,1,0,1.0,6,3750,9.0,False,3,93,93
29,,,22,3.0,13.0,969,800.0,2.7210884353741498e-05,14.89910059043676,0.5359193208481247,0.8611048196914416,1,7,2,1.0,12,4050,36.0,True,3,93,93
30,,,22,3.0,13.0,169.0,200.0,2.7210884353741498e-05,15.056167835190472,0.5359193208481247,0.8611048196914416,1,4,1,1.0,3,3900,3.0,False,3,93,93
31,,,23,3.0,13.0,980,800.0,2.7210884353741498e-05,15.21772801100404,0.09525829789446219,3.8749668097008128,1,1,0,1.0,12,3750,36.0,True,3,93,93
32,,,23,3.0,13.0,180.0,200.0,2.7210884353741498e-05,15.056167835190472,0.09525829789446219,3.8749668097008128,1,4,1,1.0,3,3900,3.0,False,3,93,93
33,,,24,3.0,13.0,861,800.0,2.7210884353741498e-05,15.056167835190472,0.025484575461785522,2.3808520905675943,1,4,1,1.0,12,3900,36.0,True,3,93,93
34,,,24,3.0,13.0,61.0,100.0,2.7210884353741498e-05,15.056167835190472,0.025484575461785522,2.3808520905675943,1,4,1,1.0,3,3900,1.0,False,3,93,93
35,,,25,1.0,11.0,199,200.0,2.7210884353741498e-05,14.880659941921914,0.12172230875982828,10.998154333514156,1,4,1,1.0,3,4050,3.0,False,3,93,93
36,,,26,13.0,3.0,796,800.0,2.7210884353741498e-05,15.217728011004041,0.04420417558081671,2.508110337224183,1,2,0,2.0,12,3750,36.0,False,3,93,93
37,,,27,3.0,13.0,765,800.0,2.7210884353741498e-05,15.21772801100404,0.12565256479634856,25.376790896596056,0,0,0,0.0,12,3750,36.0,False,4,129,129
38,,,28,13.0,3.0,924,800.0,2.7210884353741498e-05,15.056167835190472,0.012559716042624559,12.56925375634685,1,4,1,1.0,12,3900,36.0,True,4,129,129
39,,,28,13.0,3.0,124.0,150.0,2.7210884353741498e-05,14.89910059043676,0.012559716042624559,12.56925375634685,1,7,2,1.0,3,4050,2.0,False,4,129,129
40,,,29,11.0,1.0,368,400.0,2.7210884353741498e-05,15.190080317635584,0.058910565978780166,2.228044356811734,1,1,0,1.0,6,3750,10.0,False,4,129,129
41,,,30,13.0,3.0,68,100.0,2.7210884353741498e-05,15.056167835190472,0.05323715458427461,4.291652321812433,1,4,1,1.0,3,3900,1.0,False,4,129,129
42,,,31,3.0,13.0,725,750.0,2.7210884353741498e-05,15.056167835190472,0.2588936172467195,7.952632102911595,0,3,1,0.0,12,3900,35.0,False,5,177,177
43,,,32,11.0,1.0,1043,800.0,2.7210884353741498e-05,14.880659941921914,0.0009970657435233593,13.538065853957495,1,4,1,1.0,12,4050,36.0,True,5,177,177
44,,,32,11.0,1.0,243.0,250.0,2.7210884353741498e-05,15.190080317635584,0.0009970657435233593,13.538065853957495,1,2,0,2.0,6,3750,7.0,False,5,177,177
45,,,33,1.0,11.0,239,250.0,2.7210884353741498e-05,14.880659941921914,0.08515193485750762,3.5100356531334813,1,4,1,1.0,6,4050,7.0,False,5,177,177
46,,,34,3.0,13.0,779,800.0,2.7210884353741498e-05,15.21772801100404,0.016843375954664147,7.529656835016748,0,0,0,0.0,12,3750,36.0,False,6,213,213
47,,,35,13.0,3.0,996,800.0,2.7210884353741498e-05,15.056167835190472,0.09478193631929654,18.683181031912266,1,4,1,1.0,12,3900,36.0,True,6,213,213
48,,,35,13.0,3.0,196.0,200.0,2.7210884353741498e-05,15.056167835190472,0.09478193631929654,18.683181031912266,1,4,1,1.0,3,3900,3.0,False,6,213,213
49,,,36,14.0,2.0,857,850.0,2.7210884353741498e-05,15.413727722231057,0.012916569332573787,12.997074928376659,1,2,0,2.0,12,3600,37.0,True,6,213,213
50,,,36,14.0,2.0,7.0,100.0,2.7210884353741498e-05,15.431397438084263,0.012916569332573787,12.997074928376659,1,4,1,1.0,3,3600,1.0,False,6,213,213
51,,,37,9.0,3.0,656,700.0,2.7210884353741498e-05,14.908463976217458,0.054875140262335115,2.7091456972169494,1,4,1,1.0,12,4050,34.0,False,6,213,213
52,,,38,2.0,14.0,244,250.0,2.7210884353741498e-05,15.413727722231057,0.023248701848294764,11.43437768263772,1,4,1,1.0,6,3600,7.0,False,6,213,213
53,,,39,1.0,14.0,803,800.0,2.7210884353741498e-05,15.222667968180925,0.03263100135478421,2.3098951492228412,1,4,1,1.0,12,3750,36.0,True,6,213,213
54,,,39,1.0,14.0,3.0,100.0,2.7210884353741498e-05,15.222667968180925,0.03263100135478421,2.3098951492228412,1,4,1,1.0,3,3750,1.0,False,6,213,213
55,,,40,9.0,3.0,149,150.0,2.7210884353741498e-05,14.908463976217458,0.2459684586883806,12.390775504758725,0,3,1,0.0,3,4050,2.0,False,7,225,225
56,,,41,2.0,14.0,659,700.0,2.7210884353741498e-05,15.413727722231057,0.07588362731539094,3.4081608454219983,0,4,1,1.0,12,3600,34.0,False,8,273,273
57,,,42,1.0,14.0,271,300.0,2.7210884353741498e-05,14.298097740511377,0.1476020735416561,26.739870672679846,1,8,2,2.0,6,4650,8.0,False,8,273,273
58,,,43,14.0,3.0,306,350.0,2.7210884353741498e-05,14.910528216201705,0.03830423675880937,2.156603140094699,0,4,1,1.0,6,4050,9.0,False,9,303,303
59,,,44,3.0,14.0,314,350.0,2.7210884353741498e-05,15.374237200076939,0.22376570781600874,3.6470060917920355,1,2,0,2.0,6,3600,9.0,False,9,303,303
60,,,45,3.0,9.0,568,600.0,2.7210884353741498e-05,14.961523384881888,0.15518225287067677,6.465641127577548,0,4,1,1.0,9,4050,21.0,False,10,357,357
61,,,46,2.0,14.0,567,600.0,2.7210884353741498e-05,15.413727722231057,0.26227679768842116,16.691609233281497,0,4,1,1.0,9,3600,21.0,False,11,393,393
62,,,47,14.0,1.0,788,800.0,2.7210884353741498e-05,15.222667968180923,0.04853923457100012,13.458839966202458,1,4,1,1.0,12,3750,36.0,False,11,393,393
63,,,48,1.0,14.0,120,150.0,2.7210884353741498e-05,14.298097740511377,0.1475349463641225,10.721165852855414,0,7,2,1.0,3,4650,2.0,False,12,408,408
